E74,0.4
"Other,each",0.050
"Other,total",0.15
E14,0.40
E30,0.30
,
P1,2.80
P2,45
P5,186
P6,96.5
P7,12.0
P8,72.4
P34,185
P35,73.8
P10,0.330
P24,89.6
P13,30
P14,28.0
P15,124
P16,0.00000349
P18,20.8
P19,0.880
P20,193
P21,572.5
P22,507
P23,638
P31,413
P30,502
E13,92.7
E24,0.10
E29,4.45
E26,0.70
E12,0.5
E25,0.8
"Other,each",0.050
"Other,total",0.15
E14,0.85
E22,0.15
E30,0.25
,
P1,2.79
P2,45
P5,179
P6,68.9
P7,22.0
P8,72.4
P10,0.330
P24,89.6
P14,27.0
P15,124
P16,0.00000349
P18,23.6
P19,0.880
P20,193
P21,576.8
P22,513
P23,640.6
P31,343.5
P30,504.5
P36,22.2
E13,93.5
E24,0.10
E29,4
E26,0.70
E12,0.6
E25,0.7
"Other,each",0.050
"Other,total",0.15
E14,0.5
E22,0.15
E30,0.25
,
P1,2.82
P2,120
P3,150
P27,47
P28,75
P4,137
P5,421
P6,317
P7,12.0
P8,74.5
P10,0.330
P24,117
P14,28.0
P15,269
P16,0.00000432
P18,22.3
P19,0.880
P20,154
P21,572.5
P22,507
P23,638
E13,92.05
E24,0.10
E29,4
E26,1.0
E12,0.675
E25,0.20
E28,2
"Other,each",0.050
"Other,total",0.15
E14,0.90
E30,0.25
,
P1,2.78
P2,47
P5,186
P6,75.8
P7,12.0
P8,73.1
P37,345
P38,131
P10,0.330
P24,89.6
P13,30
P14,28.0
P15,124
P16,0.00000349
P18,21.1
P19,0.875
P20,193
P21,570
P22,502
P23,638
P31,413
P30,493
E13,92.7
E24,0.10
E29,4.35
E26,0.50
E12,1.5
E25,0.6
"Other,each",0.050
"Other,total",0.15
E14,0.50
E22,0.15
E30,0.25
,
P1,2.81
P2,110
P3,138
P27,44.2
P28,69
P4,124
P5,400
P6,255
P7,19.0
P8,71.7
P10,0.330
P24,124
P14,27.0
P15,241
P16,0.00000432
P18,22.7
P19,0.880
P20,154
P21,580.8
P22,521
P23,640.6
E13,93.05
E24,0.10
E29,4.45
E26,1.0
E12,0.050
E25,0.8
"Other,each",0.050
"Other,total",0.15
E14,0.85
E22,0.15
E30,0.25
,
P1,2.75
P2,95
P3,120
P27,39.8
P28,60
P39,80
P4,107
P5,338
P6,193
P7,24.0
P8,71.0
P10,0.330
P24,124
P13,50
P14,27.0
P15,200
P16,0.00000416
P18,21.6
P19,0.882
P20,159
P21,601.5
P22,554
P23,649
P31,385
P30,499
E13,95.85
E24,0.10
E29,2.6
E26,0.50
E12,0.45
E25,0.25
"Other,each",0.050
"Other,total",0.15
E14,0.50
E22,0.15
E30,0.25
,
P1,2.75
P2,122
P3,153
P27,47.5
P28,76
P4,139
P5,455
P6,415
P7,8.30
P46,9.00
P41,31.0
P44,60.0
P8,70.0
P9,227
P34,420
P35,66.0
P10,0.330
P11,6.00
P24,220
P48,31.9
P14,26.0
P15,270
P16,0.00000400
P18,23.5
P19,0.926
P20,159
P21,582.5
P22,520
P23,645
E13,94.35
E29,3.3
E26,0.20
E12,1.5
E25,0.4
"Other,each",0.050
"Other,total",0.15
E14,0.15
E22,0.10
E30,0.25
,
P1,2.59
P2,57
P3,72
P5,210
P6,190
P7,11.0
P8,76.0
P10,0.340
P14,28.0
P15,130
P18,23.6
P19,1.203
P20,88.0
P21,605
P22,560
P23,650
E13,94.4
E24,0.050
E29,2.7
E26,0.12
"Lithium,Li",2.25
E12,0.25
E25,0.050
"Other,each",0.050
"Other,total",0.15
E14,0.10
E22,0.15
E30,0.10
"Zirconium,Zr",0.115
,
P1,2.58
P2,115
P3,146
P27,45.6
P28,71
P4,130
P5,430
P6,330
P7,18.0
P8,75.0
P24,80.0
P15,260
P18,23.9
P19,0.860
P20,84.0
P21,615
P22,560
P23,670
E13,93.65
E24,0.10
E29,2.15
E26,0.30
"Lithium,Li",2
E12,1.5
E25,0.10
"Other,each",0.050
"Other,total",0.15
E14,0.20
E22,0.10
E30,0.25
"Zirconium,Zr",0.1
,
P1,2.75
P2,70
P3,93
P4,81
P5,296
P6,165
P7,27.0
P8,71.0
P10,0.330
P24,96.5
P13,50
P14,27.0
P15,193
P16,0.00000432
P18,23.8
P19,0.880
P20,154
P21,601.5
P22,554
P23,649
E13,95.95
E24,0.10
E29,2.6
E26,0.70
E12,0.35
E25,0.20
"Other,each",0.050
"Other,total",0.15
E14,0.80
E30,0.25
,
P1,2.78
P8,73.0
P10,0.330
P14,27.0
P16,0.00000420
P18,21.1
P19,0.882
P20,193
P21,570
P22,502
P23,638
P31,413
P30,493
P36,191
E13,92.95
E24,0.10
E29,4.35
E26,0.30
E12,1.5
E25,0.6
"Other,each",0.050
"Other,total",0.15
E14,0.20
E22,0.15
E30,0.25
,
P1,2.81
P2,115
P3,140
P27,45.5
P28,71
P4,126
P5,405
P6,305
P7,13.0
P41,14.0
P44,27.0
P8,74.4
P10,0.330
P24,31.0
P14,27.5
P15,240
P16,0.00000450
P18,20.7
P19,0.880
P20,148
P21,570
P22,502
P23,638
P30,510
P36,171
E13,91.2
E24,0.10
E29,4
E26,1.0
E12,1.5
E25,0.20
E28,2
"Other,each",0.050
"Other,total",0.15
E14,0.90
E30,0.25
,
P1,2.84
P2,46
P5,172
P6,75.8
P7,12.0
P8,73.1
P10,0.330
P14,27.0
P15,106
P16,0.00000399
P18,20.8
P19,0.864
P20,171
P21,593
P22,543
P23,643
P31,413
P30,535
P36,177
E13,92.65
E29,6.3
E26,0.30
E12,0.020
E25,0.3
"Other,each",0.050
"Other,total",0.15
E14,0.20
E22,0.06
E23,0.1
E30,0.10
"Zirconium,Zr",0.175
,
P1,2.84
P8,72.0
P10,0.330
P14,27.0
P16,0.00000390
P18,20.8
P19,0.864
P20,170
P21,596.5
P22,550
P23,643
P31,413
E13,92.6
E4,0.000800
E29,6.3
E26,0.30
E12,0.020
E25,0.3
"Other,each",0.050
"Other,total",0.15
E14,0.20
E22,0.15
E23,0.1
E30,0.10
"Zirconium,Zr",0.175
,
P1,2.76
P2,115
P3,144
P27,45.5
P28,72
P4,130
P5,441
P6,372
P7,10.0
P41,14.0
P44,20.0
P8,74.5
P34,370
P10,0.330
P24,124
P14,27.0
P15,262
P16,0.00000470
P18,20.6
P19,0.875
P20,146
P21,593.5
P22,549
P23,638
P30,529
P36,199
E13,93.65
E29,2.3
E26,1.1
E12,1.55
E28,1.05
"Other,each",0.050
"Other,total",0.15
E14,0.175
E22,0.07
E30,0.10
,
P1,2.73
P2,35
P5,131
P6,124
P7,6.5
P8,68.9
P37,228
P38,131
P10,0.330
P24,55.2
P13,10
P14,25.0
P15,82.7
P16,0.00000416
P49,7.5
P18,21.5
P19,0.893
P20,163
P21,648.5
P22,643
P23,654
P31,413
E13,97.85
E29,0.125
E26,0.70
E25,1.25
"Other,each",0.050
"Other,total",0.15
E14,0.60
E30,0.10
,
P1,2.72
P2,79
P3,102
P4,89
P5,295
P6,285
P7,2.00
P8,69.0
P10,0.350
P14,25.0
P15,180
P16,0.00000416
P49,7.5
P18,21.5
P19,0.893
P20,163
P21,641.7
P22,629.4
P23,654
P31,413
E13,96.85
E29,0.25
E26,0.70
E12,1.05
E25,1.25
"Other,each",0.050
"Other,total",0.15
E14,0.30
E30,0.25
,
P1,2.73
P2,49
P5,180
P6,165
P7,7.00
P8,69.0
P10,0.340
P14,26.0
P15,110
P16,0.00000400
P18,23.9
P19,0.890
P20,160
P21,642.5
P22,630
P23,655
E13,97.25
E24,0.10
E29,0.30
E26,0.70
E12,0.4
E25,1.25
"Other,each",0.050
"Other,total",0.15
E14,0.60
E22,0.10
E30,0.25
,
P1,2.72
P2,78
P3,101
P4,88
P5,290
P6,260
P7,4.00
P8,69.0
P10,0.340
P14,26.0
P15,175
P16,0.00000400
P18,23.8
P19,0.880
P20,170
P21,642.5
P22,630
P23,655
E13,96.7
E29,0.15
E31,0.050
E26,0.80
E12,1.05
E25,1.1
"Other,each",0.050
"Other,total",0.15
E14,0.60
E22,0.10
E23,0.050
E30,0.25
,
P1,2.72
P2,41
P5,152
P6,131
P7,7.00
P8,68.9
P10,0.330
P14,25.0
P15,96.5
P16,0.00000382
P49,7
P18,21.8
P19,0.897
P20,171
P21,644.5
P22,635.0
P23,654
P31,343
E13,95.9
E24,0.20
E29,0.30
E26,0.70
E12,0.5
E25,0.55
"Other,each",0.050
"Other,total",0.15
E14,0.60
E22,0.10
E30,0.40
,
P1,2.68
P2,120
P3,150
P27,47
P28,75
P4,137
P5,379
P6,317
P7,9.00
P44,59.0
P8,78.6
P10,0.340
P24,34.0
P13,70
P14,26.0
P15,262
P16,0.00000499
P18,18.0
P19,0.850
P20,138
P21,551.5
P22,532
P23,571
P31,413
P30,510
P36,171
E13,84.15
E24,0.10
E29,0.9
E26,1.0
E12,1.05
E28,0.9
"Other,each",0.050
"Other,total",0.15
E14,12.25
E30,0.25
,
P1,2.69
P2,46
P5,170
P6,165
P7,1.30
P10,0.340
P15,106
P16,0.00000440
P18,22.1
P19,0.850
P20,150
P21,602.95
P22,573.9
P23,632
P31,349
E13,93.9
E4,0.000800
E29,0.30
E26,0.80
E12,0.050
E25,0.050
"Other,each",0.050
"Other,total",0.15
E14,5.25
E22,0.20
E30,0.10
,
P1,2.70
P2,38
P5,138
P6,131
P7,10.0
P8,68.9
P10,0.330
P14,25.9
P15,96.5
P16,0.00000332
P18,21.9
P19,0.900
P20,200
P21,643
P22,632
P23,654
P31,343
Hot-WorkingTemperature,385
E13,97.0
E24,0.10
E29,0.20
E26,0.70
E12,0.8
E25,0.20
"Other,each",0.050
"Other,total",0.15
E14,0.30
E30,0.25
,
P1,2.67
P2,96
P3,121
P27,40.1
P28,60
P4,108
P5,360
P6,345
P7,4.50
P8,70.0
P10,0.330
P14,26.0
P15,215
P16,0.00000550
P18,24.0
P19,0.880
P20,140
P21,615
P22,590
P23,640
E13,95.5
E24,0.10
E29,0.15
E26,0.35
E12,3.5
E25,0.35
"Other,each",0.050
"Other,total",0.15
E14,0.20
E22,0.10
E30,0.25
,
P1,2.69
P2,46
P5,172
P6,145
P7,9.00
P8,68.9
P10,0.330
P24,89.6
P14,25.9
P15,117
P16,0.00000349
P18,21.8
P19,0.900
P20,193
P21,637.8
P22,623.9
P23,651.7
P31,343
Hot-WorkingTemperature,385
E13,97.6
E24,0.10
E29,0.20
E26,0.70
E12,1.45
E25,0.10
"Other,each",0.050
"Other,total",0.15
E14,0.40
E30,0.25
,
P1,2.68
P2,88
P3,111
P27,37
P28,54
P4,99
P5,330
P6,325
P7,4.00
P8,70.0
P10,0.330
P14,25.9
P15,200
P16,0.00000499
P18,22.1
P19,0.880
P20,138
P21,628.1
P22,607.2
P23,649
P31,343
Hot-WorkingTemperature,385
E13,96.7
E24,0.25
E29,0.10
E26,0.40
E12,2.5
E25,0.10
"Other,each",0.050
"Other,total",0.15
E14,0.25
E30,0.10
,
P1,2.64
P2,105
P3,132
P27,42.5
P28,66
P4,118
P5,434
P6,407
P7,10.0
P8,71.0
P10,0.330
P24,152
P14,25.9
P15,234
P16,0.00000640
P18,22.5
P19,0.904
P20,112
P21,603.15
P22,568.3
P23,638
P31,413
Hot-WorkingTemperature,399
E13,94.15
E24,0.125
E29,0.10
E26,0.40
E12,5.05
E25,0.125
"Other,each",0.050
"Other,total",0.15
E14,0.30
E30,0.10
,
P1,2.65
P2,106
P3,133
P27,43.1
P28,67
P4,120
P5,395
P6,370
P7,4.00
P8,70.0
P10,0.330
P14,26.0
P15,240
P16,0.00000550
P18,24.0
P19,0.880
P20,120
P21,605
P22,570
P23,640
E13,94.75
E24,0.15
E29,0.15
E26,0.35
E12,4.5
E25,0.15
"Other,each",0.050
"Other,total",0.15
E14,0.20
E22,0.10
E30,0.25
,
P1,2.66
P2,81
P3,104
P28,50
P4,91
P5,300
P6,190
P7,12.0
P8,70.3
P35,71.7
P10,0.330
P14,26.4
P15,180
P16,0.00000590
P18,22.3
P19,0.900
P20,117
P21,614.3
P22,590.6
P23,638
P31,413
Hot-WorkingTemperature,399
E13,94
E24,0.15
E29,0.10
E26,0.40
E12,4.45
E25,0.7
"Other,each",0.050
"Other,total",0.15
E14,0.40
E22,0.15
E30,0.25
,
P1,2.66
P2,73
P3,96
P4,83
P5,269
P6,131
P7,8.00
P8,71.0
P34,270
P35,72.4
P10,0.330
P14,26.4
P15,160
P16,0.00000549
P18,22.0
P19,0.900
P20,125
P21,612.8
P22,585.0
P23,640.6
P31,343
Hot-WorkingTemperature,399
E13,94.65
E24,0.15
E29,0.10
E26,0.50
E12,4
E25,0.45
"Other,each",0.050
"Other,total",0.15
E14,0.40
E22,0.15
E30,0.25
,
P1,2.66
P2,63
P3,86
P4,73
P5,241
P6,117
P7,8.00
P8,70.3
P10,0.330
P24,117
P14,25.9
P15,145
P16,0.00000532
P18,22.1
P19,0.900
P20,125
P21,618
P22,593
P23,643
P31,343
Hot-WorkingTemperature,385
E13,95.55
E4,0.000800
E24,0.25
E29,0.10
E26,0.40
E12,3.5
E25,0.10
"Other,each",0.050
"Other,total",0.15
E14,0.25
E22,0.20
E30,0.20
,
P1,2.65
P2,112
P3,140
P27,44.8
P28,70
P4,127
P5,420
P6,395
P7,4.00
P8,69.6
P35,70.9
P10,0.330
P14,26.0
P15,250
P16,0.00000560
P18,22.2
P19,0.904
P20,126
P21,607.5
P22,577
P23,638
P31,343
Hot-WorkingTemperature,385
E13,94.5
E24,0.10
E29,0.15
E26,0.35
E12,4.5
E25,0.35
"Other,each",0.050
"Other,total",0.15
E14,0.20
E22,0.10
E30,0.25
,
P1,2.67
P2,68
P3,91
P4,78
P5,234
P6,172
P7,11.0
P8,68.9
P10,0.330
P13,50
P14,26.0
P15,145
P16,0.00000499
P18,23.8
P19,0.900
P20,138
P21,628.1
P22,607.2
P23,649
P31,343
Hot-WorkingTemperature,385
E13,97.2
E29,0.10
E26,0.10
E12,2.5
E25,0.10
"Other,each",0.030
"Other,total",0.10
E14,0.080
E23,0.050
E30,0.050
,
P1,2.66
P2,63
P3,86
P4,73
P5,241
P6,117
P7,25.0
P8,70.3
P10,0.330
P24,117
P14,26.0
P15,145
P16,0.00000532
P18,22.1
P19,0.900
P20,125
P21,618
P22,593
P23,643
P31,343
Hot-WorkingTemperature,385
E13,95.8
E24,0.25
E29,0.050
E12,3.5
E25,0.010
"Other,each",0.050
"Other,total",0.15
E90,0.45
E22,0.050
E30,0.20
,
P1,2.64
P8,70.0
P10,0.330
P14,26.0
P16,0.00000594
P18,22.3
P19,0.904
P20,116
P21,603
P22,571
P23,635.0
P31,343
Hot-WorkingTemperature,385
E13,94.1
E4,0.000800
E24,0.125
E29,0.10
E26,0.40
E12,5
E25,0.125
"Other,each",0.050
"Other,total",0.15
E14,0.25
E22,0.13
E30,0.10
,
P1,2.69
P2,70
P3,93
P4,80
P5,262
P6,179
P7,14.0
P8,70.3
P10,0.330
P14,26.0
P15,159
P16,0.00000510
P18,21.9
P19,0.900
P20,134
P21,623.9
P22,601.7
P23,646.1
P31,343
Hot-WorkingTemperature,385
E13,95.75
E24,0.125
E29,0.10
E26,0.40
E12,2.7
E25,0.75
"Other,each",0.050
"Other,total",0.15
E14,0.25
E22,0.20
E30,0.25
,
P1,2.66
P2,87
P3,111
P27,37.2
P28,54
P4,98
P5,320
P6,230
P7,18.0
P8,70.3
P35,71.7
P10,0.330
P14,26.0
P15,195
P16,0.00000590
P18,22.1
P19,0.900
P20,116
P21,603.15
P22,568.3
P23,638
P31,343
Hot-WorkingTemperature,385
E13,93.35
E24,0.125
E29,0.10
E26,0.40
E12,5.1
E25,0.75
"Other,each",0.050
"Other,total",0.15
E14,0.25
E22,0.20
E30,0.25
,
P1,2.69
P2,48
P5,179
P6,159
P7,12.0
P8,68.9
P10,0.330
P14,26.0
P15,110
P16,0.00000382
P18,21.9
P19,0.880
P20,176
P21,641.7
P22,629.4
P23,654
P31,343
Hot-WorkingTemperature,385
E13,97.7
E29,0.20
E26,0.10
E12,1
E25,0.3
"Other,each",0.030
"Other,total",0.10
E14,0.080
E23,0.050
E30,0.050
,
P1,2.67
P2,60
P3,83
P4,70
P5,228
P6,193
P7,12.0
P8,70.3
P10,0.330
P24,117
P14,25.9
P15,138
P16,0.00000499
P18,22.0
P19,0.900
P20,138
P21,628.1
P22,607.2
P23,649
P31,343
Hot-WorkingTemperature,385
E13,96.9
E24,0.25
E29,0.040
E12,2.5
E25,0.010
"Other,each",0.050
"Other,total",0.15
E90,0.40
E30,0.10
,
P1,2.69
P2,40
P5,159
P6,138
P7,12.0
P8,68.9
P10,0.330
P13,30
P14,26.0
P15,82.7
P16,0.00000316
P18,21.9
P19,0.880
P20,205
P21,647.6
P22,638
P23,657.2
P31,343
Hot-WorkingTemperature,385
E13,98.5
E29,0.10
E31,0.030
E26,0.10
E12,0.8
E25,0.030
"Other,each",0.020
"Other,total",0.050
E14,0.080
E23,0.050
,
P1,2.70
P2,46
P5,170
P6,105
P7,16.0
P8,69.0
P10,0.330
P24,100
P14,26.0
P15,105
P16,0.00000366
P18,23.4
P19,0.890
P20,180
P21,630.6
P22,607.2
P23,654
P31,414
P30,546.1
P36,174
E13,98.25
E24,0.10
E29,0.10
E26,0.35
E12,0.5
E25,0.10
"Other,each",0.050
"Other,total",0.15
E14,0.75
E22,0.10
E30,0.10
,
P1,2.71
P2,62
P3,83
P4,70
P5,230
P6,125
P7,25.0
P8,69.0
P10,0.330
P24,120
P14,26.0
P15,150
P16,0.00000390
P18,21.6
P19,0.890
P20,172
P21,619
P22,588
P23,650
P31,413
P30,554
P36,177
E13,97.2
E24,0.10
E29,0.375
E26,0.50
E12,0.6
E25,0.5
"Other,each",0.050
"Other,total",0.15
E14,0.8
E22,0.10
E30,0.25
,
P1,2.71
P2,78
P3,101
P4,88
P5,290
P6,170
P7,24.0
P8,69.0
P10,0.330
P14,26.0
P15,195
P16,0.00000440
P18,21.5
P19,0.890
P20,151
P21,617
P22,585
P23,649
P31,413
P30,566
P36,177
E13,96.8
E24,0.10
E29,0.375
E26,0.50
E12,0.8
E25,0.5
"Other,each",0.050
"Other,total",0.15
E14,1
E22,0.10
E30,0.25
,
P1,2.71
P2,130
P3,163
P27,49.5
P28,80
P4,149
P5,379
P6,359
P7,5.00
P13,70
P15,248
P16,0.00000490
P18,23.4
P20,164
E13,97.0
E24,0.10
E29,0.85
E26,0.50
E12,1
E25,0.5
E14,0.8
E22,0.10
E30,0.25
,
P1,2.71
P2,95
P3,120
P27,39.5
P28,60
P4,107
P5,262
P6,241
P7,10.0
P13,90
P15,159
P16,0.00000450
P18,23.8
P20,167
E13,96.0
E24,0.15
E29,0.6
E26,0.50
E12,0.9
E25,0.35
E14,0.65
E49,1.2
E22,0.15
,
P1,2.69
P2,26
P5,110
P6,55.0
P7,35.0
P8,69.0
P10,0.330
P24,55.0
P14,26.0
P15,75.0
P16,0.00000382
P18,23.0
P19,0.890
P20,171
P21,614.35
P22,577
P23,651.7
E13,98.15
E24,0.25
E29,0.10
E26,0.35
E12,1.25
"Other,each",0.050
"Other,total",0.15
E30,0.10
,
P1,2.70
P2,30
P5,124
P6,55.2
P7,25.0
P8,68.9
P37,228
P38,103
P10,0.330
P24,62.1
P13,30
P14,26.0
P15,82.7
P16,0.00000366
P18,23.6
P19,0.896
P20,180
P21,616.85
P22,582
P23,651.7
P30,529
P36,160
E13,97.2
E24,0.195
E29,0.275
E26,0.70
E12,1
E25,0.15
"Other,each",0.050
"Other,total",0.15
E14,0.6
E22,0.15
E30,0.25
,
P1,2.70
P2,25
P5,89.6
P6,48.3
P8,68.9
P10,0.330
P24,55.2
P13,30
P14,25.8
P15,68.9
P16,0.00000299
P18,21.8
P19,0.900
P20,218
P21,635
P22,616
P23,654
P31,413
P30,521
P36,177
E13,97.5
E24,0.10
E29,0.10
E26,0.35
E12,0.675
E25,0.10
"Other,each",0.050
"Other,total",0.15
E14,0.4
E22,0.10
E30,0.10
,
P1,2.72
P2,43
P5,152
P6,82.7
P7,18.0
P8,68.9
P10,0.330
P13,30
P14,26.0
P15,96.5
P16,0.00000432
P18,23.2
P19,0.887
P20,154
P21,604.45
P22,562.8
P23,646.1
P31,414
P30,532
P36,177
E13,95
E24,0.40
E29,0.95
E26,0.50
E12,1.1
E25,0.85
"Other,each",0.050
"Other,total",0.15
E14,1.35
E22,0.20
E30,0.25
,
P1,2.72
P16,0.00000390
P18,23.6
P21,614.5
P22,581
P23,648
E13,96.15
E24,0.175
E29,0.775
E26,0.40
E12,1.4
E25,0.050
"Other,each",0.050
"Other,total",0.15
E14,0.9
E38,0.050
E22,0.10
E23,0.2
E30,0.050
,
P1,2.71
P2,35
P5,145
P6,70.0
P7,20.0
P8,69.0
P10,0.330
P24,60.0
P14,26.0
P15,95.0
P16,0.00000399
P18,23.2
P19,0.891
P20,171
P21,607.5
P22,566
P23,649
P30,546.1
P36,160
E13,96.25
E24,0.10
E29,0.275
E26,0.50
E12,0.85
E25,0.7
"Other,each",0.050
"Other,total",0.15
E14,1.35
E22,0.15
E30,0.25
,
P1,2.70
P2,26
P5,96.5
P6,75.8
P8,69.0
P10,0.330
P14,26.0
P15,60.0
P16,0.00000280
P18,21.7
P19,0.895
P20,220
P21,637.5
P22,620
P23,655
P30,510
P36,177
Hot-WorkingTemperature,385
E13,97.6
E5,0.060
E24,0.030
E29,0.10
E26,0.50
E12,0.575
E25,0.030
"Other,each",0.030
"Other,total",0.10
E14,0.5
E30,0.10
,
P1,2.71
P2,100
P3,126
P27,41.3
P28,63
P4,112
P5,290
P6,241
P7,2.00
P8,69.0
P10,0.330
P24,85.0
P14,26.0
